Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9588156k free), swap 23213284k(9184772k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:17:52.033+0200: 4.314: [GC (Allocation Failure) 2020-09-29T18:17:52.033+0200: 4.314: [ParNew: 574249K->46441K(613440K), 0.0256799 secs] 578941K->51132K(2029056K), 0.0257486 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:52.109+0200: 4.390: [GC (Allocation Failure) 2020-09-29T18:17:52.109+0200: 4.390: [ParNew: 591785K->36096K(613440K), 0.0239255 secs] 596476K->40787K(2029056K), 0.0239934 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.183+0200: 4.464: [GC (Allocation Failure) 2020-09-29T18:17:52.183+0200: 4.464: [ParNew: 581440K->33206K(613440K), 0.0223917 secs] 586131K->37897K(2029056K), 0.0224606 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.254+0200: 4.535: [GC (Allocation Failure) 2020-09-29T18:17:52.254+0200: 4.535: [ParNew: 578550K->54772K(613440K), 0.0267282 secs] 583241K->59463K(2029056K), 0.0267976 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:52.332+0200: 4.613: [GC (Allocation Failure) 2020-09-29T18:17:52.332+0200: 4.613: [ParNew: 600116K->41592K(613440K), 0.0196122 secs] 604807K->46284K(2029056K), 0.0196821 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.403+0200: 4.684: [GC (Allocation Failure) 2020-09-29T18:17:52.403+0200: 4.684: [ParNew: 586936K->55848K(613440K), 0.0320317 secs] 591628K->60540K(2029056K), 0.0321076 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:52.486+0200: 4.767: [GC (Allocation Failure) 2020-09-29T18:17:52.486+0200: 4.767: [ParNew: 601192K->46534K(613440K), 0.0243475 secs] 605884K->51225K(2029056K), 0.0244219 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.562+0200: 4.843: [GC (Allocation Failure) 2020-09-29T18:17:52.562+0200: 4.843: [ParNew: 591878K->37053K(613440K), 0.0235257 secs] 596569K->41744K(2029056K), 0.0236090 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.639+0200: 4.919: [GC (Allocation Failure) 2020-09-29T18:17:52.639+0200: 4.919: [ParNew: 582397K->36905K(613440K), 0.0215138 secs] 587088K->41596K(2029056K), 0.0215837 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:52.713+0200: 4.994: [GC (Allocation Failure) 2020-09-29T18:17:52.713+0200: 4.994: [ParNew: 582249K->36248K(613440K), 0.0197944 secs] 586940K->40940K(2029056K), 0.0198758 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
