Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8888232k free), swap 23213284k(7851224k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:06:19.454+0200: 6.165: [GC (Allocation Failure) 2020-09-29T13:06:19.454+0200: 6.165: [ParNew: 545434K->11756K(613440K), 0.0099746 secs] 545824K->12146K(2029056K), 0.0100464 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.539+0200: 6.251: [GC (Allocation Failure) 2020-09-29T13:06:19.539+0200: 6.251: [ParNew: 557100K->16637K(613440K), 0.0091182 secs] 557490K->17027K(2029056K), 0.0091750 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.625+0200: 6.337: [GC (Allocation Failure) 2020-09-29T13:06:19.625+0200: 6.337: [ParNew: 561981K->11610K(613440K), 0.0082378 secs] 562371K->12000K(2029056K), 0.0082934 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.710+0200: 6.421: [GC (Allocation Failure) 2020-09-29T13:06:19.710+0200: 6.421: [ParNew: 556954K->7916K(613440K), 0.0072242 secs] 557344K->8306K(2029056K), 0.0072948 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.797+0200: 6.508: [GC (Allocation Failure) 2020-09-29T13:06:19.797+0200: 6.508: [ParNew: 553260K->7037K(613440K), 0.0067704 secs] 553650K->7427K(2029056K), 0.0068255 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.885+0200: 6.596: [GC (Allocation Failure) 2020-09-29T13:06:19.885+0200: 6.596: [ParNew: 552381K->5533K(613440K), 0.0057341 secs] 552771K->5923K(2029056K), 0.0057888 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:19.976+0200: 6.687: [GC (Allocation Failure) 2020-09-29T13:06:19.976+0200: 6.687: [ParNew: 550877K->184K(613440K), 0.0017742 secs] 551267K->574K(2029056K), 0.0018402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:20.068+0200: 6.779: [GC (Allocation Failure) 2020-09-29T13:06:20.068+0200: 6.779: [ParNew: 545528K->12271K(613440K), 0.0104347 secs] 545918K->12661K(2029056K), 0.0104929 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:20.163+0200: 6.874: [GC (Allocation Failure) 2020-09-29T13:06:20.163+0200: 6.874: [ParNew: 557615K->16392K(613440K), 0.0105584 secs] 558005K->16782K(2029056K), 0.0106176 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:20.251+0200: 6.963: [GC (Allocation Failure) 2020-09-29T13:06:20.251+0200: 6.963: [ParNew: 561736K->11903K(613440K), 0.0081991 secs] 562126K->12294K(2029056K), 0.0082877 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
